New Relic for Node.js was unable to bootstrap itself due to an error:
Error: New Relic requires that you name this application!
Set app_name in your newrelic.js or newrelic.cjs file or set environment variable
NEW_RELIC_APP_NAME. Not starting!
[2024-02-07 10:04:10:134] CodeStreamAgent.registerHandler(codestream/text-files/read)
[2024-02-07 10:04:10:134] CodeStreamAgent.registerHandler(codestream/text-files/write)
[2024-02-07 10:04:10:134] CodeStreamAgent.registerHandler(codestream/scm/user/info)
[2024-02-07 10:04:10:134] CodeStreamAgent.registerHandler(codestream/scm/workspace/repos)
[2024-02-07 10:04:10:134] CodeStreamAgent.registerHandler(codestream/scm/workspace/autojoin)
[2024-02-07 10:04:10:134] CodeStreamAgent.registerHandler(codestream/url/open)
[2024-02-07 10:04:10:134] CodeStreamAgent.registerHandler(codestream/uri/resolveLocal)
[2024-02-07 10:04:10:134] CodeStreamAgent.registerHandler(codestream/users)
[2024-02-07 10:04:10:134] CodeStreamAgent.registerHandler(codestream/user/invite)
[2024-02-07 10:04:10:134] CodeStreamAgent.registerHandler(codestream/user/delete)
[2024-02-07 10:04:10:134] CodeStreamAgent.registerHandler(codestream/user/kick)
[2024-02-07 10:04:10:134] CodeStreamAgent.registerHandler(codestream/user/update)
[2024-02-07 10:04:10:134] CodeStreamAgent.registerHandler(codestream/user/updatePreferences)
[2024-02-07 10:04:10:134] CodeStreamAgent.registerHandler(codestream/user/updateStatus)
[2024-02-07 10:04:10:134] CodeStreamAgent.registerHandler(codestream/user/updateInvisible)
[2024-02-07 10:04:10:134] CodeStreamAgent.registerHandler(codestream/user/updatePresence)
[2024-02-07 10:04:10:135] CodeStreamAgent.registerHandler(codestream/users/me/unreads)
[2024-02-07 10:04:10:135] CodeStreamAgent.registerHandler(codestream/user)
[2024-02-07 10:04:10:135] CodeStreamAgent.registerHandler(codestream/users/me/preferences)
[2024-02-07 10:04:10:135] CodeStreamAgent.registerHandler(codestream/newrelic/deployments)
[2024-02-07 10:04:10:135] CodeStreamAgent.registerHandler(codestream/newrelic/anomalies)
[2024-02-07 10:04:10:135] CodeStreamAgent.registerHandler(codestream/newrelic/responseTimes)
[2024-02-07 10:04:10:135] CodeStreamAgent.registerHandler(codestream/newrelic/entityCount)
[2024-02-07 10:04:10:135] CodeStreamAgent.registerHandler(codestream/newrelic/entities)
[2024-02-07 10:04:10:135] CodeStreamAgent.registerHandler(codestream/newrelic/relatedEntities)
[2024-02-07 10:04:10:135] CodeStreamAgent.registerHandler(codestream/newrelic/repos)
[2024-02-07 10:04:10:135] CodeStreamAgent.registerHandler(codestream/newrelic/errors)
[2024-02-07 10:04:10:135] CodeStreamAgent.registerHandler(codestream/newrelic/errorGroup/metadata)
[2024-02-07 10:04:10:135] CodeStreamAgent.registerHandler(codestream/newrelic/assignments)
[2024-02-07 10:04:10:135] CodeStreamAgent.registerHandler(codestream/newrelic/errorGroup)
[2024-02-07 10:04:10:135] CodeStreamAgent.registerHandler(codestream/newrelic/assignees)
[2024-02-07 10:04:10:135] CodeStreamAgent.registerHandler(codestream/newrelic/serviceLevelTelemetry)
[2024-02-07 10:04:10:135] CodeStreamAgent.registerHandler(codestream/newrelic/orgid/update)
[2024-02-07 10:04:10:135] CodeStreamAgent.registerHandler(codestream/newrelic/azureFullName)
[2024-02-07 10:04:10:135] CodeStreamAgent.registerHandler(codestream/newrelic/url)
[2024-02-07 10:04:10:135] CodeStreamAgent.registerHandler(codestream/newrelic/accounts)
[2024-02-07 10:04:10:135] CodeStreamAgent.registerHandler(codestream/newrelic/users)
[2024-02-07 10:04:10:135] CodeStreamAgent.registerHandler(codestream/newrelic/serviceLevelObjectives)
[2024-02-07 10:04:10:135] CodeStreamAgent.registerHandler(codestream/newrelic/libraryDetails)
[2024-02-07 10:04:10:135] CodeStreamAgent.registerHandler(codestream/newrelic/fileLevelTelemetry)
[2024-02-07 10:04:10:135] CodeStreamAgent.registerHandler(codestream/newrelic/methodLevelMethodTelemetry)
[2024-02-07 10:04:10:135] CodeStreamAgent.registerHandler(codestream/newrelic/clm)
[2024-02-07 10:04:10:135] CodeStreamAgent.registerHandler(codestream/newrelic/spanChartData)
[2024-02-07 10:04:10:135] CodeStreamAgent.registerHandler(codestream/provider/connect)
[2024-02-07 10:04:10:135] CodeStreamAgent.registerHandler(codestream/provider/configure)
[2024-02-07 10:04:10:135] CodeStreamAgent.registerHandler(codestream/provider/add)
[2024-02-07 10:04:10:135] CodeStreamAgent.registerHandler(codestream/provider/remove)
[2024-02-07 10:04:10:135] CodeStreamAgent.registerHandler(codestream/provider/disconnect)
[2024-02-07 10:04:10:135] CodeStreamAgent.registerHandler(codestream/provider/cards/users)
[2024-02-07 10:04:10:135] CodeStreamAgent.registerHandler(codestream/provider/cards/users/search)
[2024-02-07 10:04:10:135] CodeStreamAgent.registerHandler(codestream/provider/boards)
[2024-02-07 10:04:10:135] CodeStreamAgent.registerHandler(codestream/provider/cards)
[2024-02-07 10:04:10:135] CodeStreamAgent.registerHandler(codestream/provider/cards/workflow)
[2024-02-07 10:04:10:135] CodeStreamAgent.registerHandler(codestream/provider/cards/create)
[2024-02-07 10:04:10:135] CodeStreamAgent.registerHandler(codestream/provider/cards/move)
[2024-02-07 10:04:10:135] CodeStreamAgent.registerHandler(codestream/provider/channels)
[2024-02-07 10:04:10:135] CodeStreamAgent.registerHandler(codestream/provider/status/update)
[2024-02-07 10:04:10:135] CodeStreamAgent.registerHandler(codestream/provider/posts/create)
[2024-02-07 10:04:10:135] CodeStreamAgent.registerHandler(codestream/provider/posts/delete)
[2024-02-07 10:04:10:135] CodeStreamAgent.registerHandler(codestream/provider/pullrequest)
[2024-02-07 10:04:10:135] CodeStreamAgent.registerHandler(codestream/provider/pullrequestcommits)
[2024-02-07 10:04:10:135] CodeStreamAgent.registerHandler(codestream/provider/generic)
[2024-02-07 10:04:10:135] CodeStreamAgent.registerHandler(codestream/provider/query)
[2024-02-07 10:04:10:135] CodeStreamAgent.registerHandler(codestream/provider/builds)
[2024-02-07 10:04:10:135] CodeStreamAgent.registerHandler(codestream/provider/licenseDependencies)
[2024-02-07 10:04:10:135] CodeStreamAgent.registerHandler(codestream/provider/vulnerablitlies)
[2024-02-07 10:04:10:135] CodeStreamAgent.registerHandler(codestream/provider/fossaRepoMatch)
[2024-02-07 10:04:10:135] CodeStreamAgent.registerHandler(codestream/providers/pullrequest/queries)
[2024-02-07 10:04:10:135] CodeStreamAgent.registerHandler(codestream/repos/match)
[2024-02-07 10:04:10:135] CodeStreamAgent.registerHandler(codestream/team/create)
[2024-02-07 10:04:10:135] CodeStreamAgent.registerHandler(codestream/sendPasswordResetEmail)
[2024-02-07 10:04:10:135] CodeStreamAgent.registerHandler(codestream/setPassword)
[2024-02-07 10:04:10:135] CodeStreamAgent.registerHandler(codestream/company/update)
[2024-02-07 10:04:10:135] CodeStreamAgent.registerHandler(codestream/company/delete)
[2024-02-07 10:04:10:135] CodeStreamAgent.registerHandler(codestream/company/create)
[2024-02-07 10:04:10:135] CodeStreamAgent.registerHandler(codestream/company/createForeign)
[2024-02-07 10:04:10:135] CodeStreamAgent.registerHandler(codestream/team/tag/create)
[2024-02-07 10:04:10:135] CodeStreamAgent.registerHandler(codestream/team/tag/deleete)
[2024-02-07 10:04:10:135] CodeStreamAgent.registerHandler(codestream/team/tag/update)
[2024-02-07 10:04:10:135] CodeStreamAgent.registerHandler(codestream/team/admin/update)
[2024-02-07 10:04:10:135] CodeStreamAgent.registerHandler(codestream/team/update)
[2024-02-07 10:04:10:135] CodeStreamAgent.registerHandler(codestream/team/settings/update)
[2024-02-07 10:04:10:135] CodeStreamAgent.registerHandler(codestream/team/add-blame-map)
[2024-02-07 10:04:10:135] CodeStreamAgent.registerHandler(codestream/team/delete-blame-map)
[2024-02-07 10:04:10:135] CodeStreamAgent.registerHandler(codestream/users/me/delete)
[2024-02-07 10:04:10:135] CodeStreamAgent.registerHandler(codestream/provider/token)
[2024-02-07 10:04:10:135] CodeStreamAgent.registerHandler(codestream/upload/file)
[2024-02-07 10:04:10:136] CodeStreamAgent.registerHandler(codestream/nr/openNewRelicSignupUrl)
[2024-02-07 10:04:10:136] CodeStreamAgent.registerHandler(codestream/msteams/generate-connect-code)
[2024-02-07 10:04:10:136] CodeStreamAgent.registerHandler(codestream/trunk/check)
[2024-02-07 10:04:10:136] CodeStreamAgent.registerHandler(codestream/verifyConnectivity)
[2024-02-07 10:04:10:136] CodeStreamAgent.registerHandler(codestream/accessToken)
[2024-02-07 10:04:10:136] CodeStreamAgent.registerHandler(codestream/login/password)
[2024-02-07 10:04:10:136] CodeStreamAgent.registerHandler(codestream/login/token)
[2024-02-07 10:04:10:136] CodeStreamAgent.registerHandler(codestream/login/otc)
[2024-02-07 10:04:10:136] CodeStreamAgent.registerHandler(codestream/login/confirm)
[2024-02-07 10:04:10:136] CodeStreamAgent.registerHandler(codestream/login/generate-code)
[2024-02-07 10:04:10:136] CodeStreamAgent.registerHandler(codestream/registration)
[2024-02-07 10:04:10:136] CodeStreamAgent.registerHandler(codestream/nr-registration)
[2024-02-07 10:04:10:136] CodeStreamAgent.registerHandler(codestream/registration/confirm)
[2024-02-07 10:04:10:136] CodeStreamAgent.registerHandler(codestream/registration/invite-info)
[2024-02-07 10:04:10:136] CodeStreamAgent.registerHandler(codestream/companies/join)
[2024-02-07 10:04:10:136] CodeStreamAgent.registerHandler(codestream/companies/decline)
[2024-02-07 10:04:10:136] CodeStreamAgent.registerHandler(codestream/companies/logout)
[2024-02-07 10:04:10:136] CodeStreamAgent.registerHandler(codestream/api)
[2024-02-07 10:04:10:136] CodeStreamAgent.registerHandler(codestream/set-server)
[2024-02-07 10:04:10:136] CodeStreamAgent.registerHandler(codestream/pollForMaintenanceMode)
[2024-02-07 10:04:10:136] CodeStreamAgent.registerHandler(codestream/bootstrap)
[2024-02-07 10:04:10:136] Agent is ready
[2024-02-07 10:04:10:136] RepositoryLocator.start: starting startCore
[2024-02-07 10:04:10:137] startCore: initializing promise
[2024-02-07 10:04:10:137] getWorkspaceFolders: workspaces supported
[2024-02-07 10:04:10:138] [ec] CodeStreamApiProvider.getTelemetryKey
[2024-02-07 10:04:14:038] [ed] CodeStreamAgent.sendNotification(codestream/refreshMaintenancePoll)
[2024-02-07 10:04:14:038] [ed] CodeStreamAgent.sendNotification(codestream/refreshMaintenancePoll) completed • 0 ms
[2024-02-07 10:04:14:039] VersionMiddlewareManager: API version changed from  to 15.0.5
[2024-02-07 10:04:14:039] [ee] VersionMiddlewareManager.apiVersionNotify
[2024-02-07 10:04:14:039] [ef] CodeStreamSession.onApiVersionCompatibilityChanged
[2024-02-07 10:04:14:039] [f0] CodeStreamAgent.sendNotification(codestream/didChangeApiVersionCompatibility)
[2024-02-07 10:04:14:039] [f0] CodeStreamAgent.sendNotification(codestream/didChangeApiVersionCompatibility) completed • 0 ms
[2024-02-07 10:04:14:040] [ef] CodeStreamSession.onApiVersionCompatibilityChanged completed • 0 ms
[2024-02-07 10:04:14:040] [ee] VersionMiddlewareManager.apiVersionNotify completed • 0 ms
[2024-02-07 10:04:14:059] API(0d49c123-5bdd-4290-a45b-03d246393773): Completed GET /no-auth/telemetry-key?secret=<hidden> • 3920 ms
[2024-02-07 10:04:14:059] [ec] CodeStreamApiProvider.getTelemetryKey completed • 3921 ms
[2024-02-07 10:04:14:064] API server status: 200
[2024-02-07 10:04:14:065] registerApiCapabilities for teamId undefined, userId undefined — {}, {}
[2024-02-07 10:04:14:066] _apiCapabilities — {"sample":{"description":"SAMPLE","version":"1.0.0"},"multipleMarkers":{"description":"Ability to have multiple code blocks per codemark","version":"1.21.20"},"moveMarkers":{"description":"Ability to change the location of code blocks pointed to by codemarks","version":"1.21.20"},"moveMarkers2":{"description":"Ability to change the location of code blocks pointed to by codemarks, with essential API server fix","version":"1.21.23"},"repoCommitMatching":{"description":"Supports the /repos/match/:teamId call, which allows matches to be found for repos by remotes and known commit hashes","version":"1.21.24"},"follow":{"description":"Ability to follow or unfollow a codemark","version":"1.21.27"},"lightningCodeReviews":{"description":"Support for lightning code reviews","version":"1.21.33","supportedIdes":["VS Code","JetBrains","VS"]},"notificationDeliveryPreference":{"description":"Support for displaying the email/desktop delivery notification preference","version":"1.21.33"},"multipleReviewersApprove":{"description":"Support for multiple reviewers being required to approve a review","version":"7.1.1"},"emailSupport":{"description":"Whether outbound emails are supported, value actually comes from configuration","version":"1.0.0"},"multiCheckpointReviews":{"description":"Reviews supporting multiple checkpoints","version":"7.2.0"},"inviteUsersOnTheFly":{"description":"Users can be invited on-the-fly in codemarks and reviews","version":"7.2.7"},"kickstart":{"description":"Kickstart features","version":"7.4.2"},"cr2pr":{"description":"Features supporting opening pull requests after code reviews","version":"7.4.2"},"shareStatusToSlack":{"description":"Whether the share to slack capability is supported, which requires a new scope for the slack app","version":"8.0.6"},"addBlameMap":{"description":"Supporting adding someone to the blame-map","version":"8.1.1"},"vsCodeGithubSignin":{"description":"Supports whether special VSCode GitHub signin is supported in the auth flow","version":"8.2.7"},"compactModifiedRepos":{"description":"Supports compact modifiedRepos structure","version":"8.2.8"},"providerReauth":{"description":"Supports re-authentication for providers if tokens are found to be invalid","version":"8.2.11"},"autoJoin":{"description":"Supports auto-join API call, to auto-join a team based on open repos in IDE","version":"8.2.13"},"testGroups":{"description":"Supports the /company-test-groups/:id call, to set randomized test groups for a company","version":"8.2.15"},"fileUploads":{"description":"Supports file uploading","version":"8.2.17","cloudOnly":true},"autoFR":{"description":"Supports automatic generation of feedback requests","version":"8.2.20"},"readItem":{"description":"Supports /read-item call to mark number of unread replies for an item","version":"8.2.33"},"echoes":{"description":"Supports periodic echoes to test broadcaster reliability","version":"8.2.39"},"multiRegion":{"description":"Supports multi-region switching","version":"12.0.7"},"serviceGatewayAuth":{"description":"Indicates the API server is running behind Service Gateway and using login service for auth, governed by a global variable","version":"14.0.11","useGlobal":true}}
[2024-02-07 10:04:14:066] Got environment from connectivity response: — {"environment":"us","isOnPrem":false,"isProductionCloud":true,"newRelicLandingServiceUrl":"https://landing.service.newrelic.com","newRelicApiUrl":"https://api.newrelic.com","newRelicSecApiUrl":"https://nrsec-workflow-api.service.newrelic.com","environmentHosts":[{"name":"EU","publicApiUrl":"https://codestream-eu1.service.eu.newrelic.com","shortName":"eu"},{"name":"US","publicApiUrl":"https://codestream-us1.service.newrelic.com","shortName":"us"}]}
[2024-02-07 10:04:14:066] [f1] CodeStreamAgent.sendNotification(codestream/didSetEnvironment)
[2024-02-07 10:04:14:066] [f1] CodeStreamAgent.sendNotification(codestream/didSetEnvironment) completed • 0 ms
[2024-02-07 10:04:14:066] Service Gateway auth is enabled
[2024-02-07 10:04:14:066] [1] CodeStreamSession.verifyConnectivity completed • 3951 ms
[2024-02-07 10:04:23:235] startCore: Starting repository search in 7 folders
